wavelength,intensity
100.0,27.53107657057343
102.00573065902579,30.315386275409953
104.01146131805157,36.57484095355327
106.01719197707736,30.78639528887479
108.02292263610315,26.76493538828312
110.02865329512895,35.68056297898589
112.03438395415472,26.608625770600426
114.04011461318052,31.1938953000974
116.04584527220631,32.902516310253866
118.0515759312321,34.63390256808224
120.05730659025788,30.985250863689867
122.06303724928367,39.94511291040394
124.06876790830945,38.98455583593918
126.07449856733524,26.43418910312016
128.08022922636104,30.54979725480886
130.0859598853868,28.824175288319676
132.09169054441261,35.11157198708559
134.0974212034384,30.35731182934511
136.1031518624642,31.2493032484086
138.10888252149,34.45897341692067
140.11461318051576,45.570412059016945
142.12034383954153,42.192310976057456
144.12607449856733,50.90483696256821
146.13180515759313,61.35404011589689
148.1375358166189,73.87887788825945
150.1432664756447,98.01025619889757
152.14899713467048,113.43409610679254
154.15472779369628,157.3856110205556
156.16045845272205,186.35916002356794
158.16618911174785,219.2342582542791
160.17191977077363,266.6528013355863
162.17765042979943,288.98332572366166
164.18338108882523,318.18269897499533
166.189111747851,342.78711501760125
168.19484240687677,349.4290361253816
170.20057306590257,337.20252746053535
172.20630372492838,322.7009386407107
174.21203438395415,287.6734932239791
176.21776504297995,258.8612602028939
178.22349570200572,210.9041404794493
180.22922636103152,184.04489436570557
182.23495702005732,139.8049971742464
184.2406876790831,121.03861281758913
186.24641833810887,95.37786492183699
188.25214899713467,68.13707943024785
190.25787965616047,58.09648474897948
192.26361031518624,47.170294752046814
194.269340974212,49.57274938254536
196.27507163323781,35.98141049033699
198.28080229226362,36.777376593815376
200.28653295128942,34.69019215908779
202.2922636103152,39.38755871729325
204.29799426934096,31.461180217083605
206.30372492836676,31.222130465229874
208.30945558739256,37.47500304350822
210.31518624641834,39.08080711990736
212.3209169054441,35.16356984631398
214.3266475644699,41.74017496593866
216.3323782234957,41.66259859814222
218.3381088825215,45.68717968363036
220.34383954154728,57.32877089096317
222.34957020057305,61.63739591294954
224.35530085959886,75.33615905634628
226.36103151862466,112.24466345378595
228.36676217765043,141.03958424335605
230.37249283667623,169.76456328819734
232.378223495702,212.49784123020143
234.3839541547278,272.77281328791537
236.38968481375358,319.86683198210204
238.39541547277938,370.5973359014218
240.40114613180515,399.09731293238303
242.40687679083095,430.95662967548134
244.41260744985672,441.64595848189145
246.41833810888252,446.804272123652
248.4240687679083,421.90745526934097
250.4297994269341,396.1349992314743
252.4355300859599,346.65660172885936
254.44126074498567,297.9004020951277
256.44699140401144,248.06544324284744
258.45272206303724,202.0880781977294
260.45845272206304,158.20573541902354
262.4641833810888,122.71512469261806
264.46991404011465,91.2397664315882
266.4756446991404,72.56254572416921
268.4813753581662,63.26427159239388
270.487106017192,50.06408389494517
272.49283667621773,47.01755487200515
274.4985673352436,37.53968677589271
276.50429799426934,28.59061821782126
278.51002865329514,37.61941157359735
280.51575931232094,36.06719657135533
282.5214899713467,31.40098560540081
284.5272206303725,35.18955820893606
286.5329512893983,31.366747878504377
288.538681948424,31.201530733899553
290.5444126074499,36.76961601892304
292.55014326647563,29.990253829285294
